id,text,source,category,sondre,mathias,vilde,kristoffer
10667,"De er helt ute og kjøre dette partiet Når ett parti som oppfører seg slik som mdg gjør mot sitt eget folk, så minner det mye om andre stater hvor statsledere har trødd på sitt folk og vi vet hvordan det har gått Jeg snakket med noen som kalte Mdg for miljøpartiet de gale🙁",fb,2,1,3,2,2
10817,Knall ein biff i haue pån terje,fb,5,3,3,5,5
4679351020,EnIg. Det finnes ikke moderate muslimer.,rs,4,4,4,4,3
4660257108,hjelper ikke på vold og kriminell statistikken før de stopper beriking og begynner å kaste terroristene ut av øyene.,rs,5,4,5,2,2
1228671547772108801,"Navn Navn Så du mener islam bidrar positivt i verden? Jøss! Ja, dere kvinnfolk er noen jævla horer når dere går uten slør, og bør da fengsles! 🤣 Kos deg med islam, du, jeg, for min del er ikke interessert i å underkaste meg d svineriet der! 🤣",tw,4,4,4,4,4
4682658092,"Hva driver du på med din tulling? Hadde du hatt vett, så hadde du heller holdt deg borte fra denne diskusjonen.",rs,3,3,3,3,3
1228689568397975557,Navn Navn Navn Navn Navn   Formålet denne gangen er å dekke over at muslimsk innvandring har ødelagt/ ødelegger Norge. Og dekke dere som har ansvaret for landsviket. Straffe de som forteller sannheten.,tw,4,4,4,4,3
4661796341,De mangler vett til å skape samfunn vi har. De mangler også vett til å føle skam over grenseløs snylting. De tror vel NAV er noe som vokser fra jorda.,rs,3,2,2,2,2
1228854237527830528,80Siste: Gutt utsatt for vold og ran på buss i Oslo   Denne utviklingen har folk advart politikerne om i over 40.år. Dette er bare begynnelsen til et sykt norskt uhyggelig ondt og ulevelig samfunn!Grøss😠,tw,2,2,2,2,2
1227693993238159360,Navn Navn Vi trenger mer ulv på tinget. Ulven rydder bort dårlige gener og daukjøttet i det lokale økosystemet.,tw,3,2,2,3,3
1224494821940908033,"Navn Navn Navn Navn Nei, det er vi ikke. Problemet er at det er alt for mange hjernevaskede sauer i dette landet. Også i andre land. Om ikke det, så hadde det eksplodert i tryne på de, for lenge siden. Hvem hadde turt å gi beskjed til en Viking hjem fra tokt, at han ikke fikk spise kjøtt.",tw,3,3,3,2,2
1216628051745951745,"iranerne vil ikke ha en dritt å gjøre med islam-pisset, men i Norge skal vi ha det? Til helvete med muslim-importørene i Norge! Iranerne vil ikke ha verken sjahen eller mullah-rævholene🤷‍♂️🤷‍♂️🤷‍♂️",tw,5,5,5,5,4
1223915388305625090,Navn Navn Og så leser du Koranen og definerer og forklarer hva mohammet har befalt og hva en muslim skal og kan gjøre?,tw,2,2,2,1,1
6943,Frekkheten lenge leve. Han burde ha vett til å gå stille i dørene og la oss slippe å se ham i media.,fb,2,2,3,2,2
4663364464,"Giid ! Jeg visste faktisk ikke at Støre nå har omskolert seg til imam. Gratulerer med forfremmelsen, Støre !",rs,2,2,3,2,2
4679900760,Blir sannerkvalm av denne idi....,rs,3,2,2,1,1
4683828457,EU er et grisete kjøkken med Islam som hovedrett.,rs,4,4,4,4,4
4678430862,"Ellers kan de dra tilbake til ""the shit holes"" de kom fra.",rs,5,4,5,3,3
4660091180,"Skal si vi har kommet langt når folk må holde seg innendørs, på grunn av at politikere fyller landet med voldelige klankulturer.På sikt er det vel noen av oss som reiser seg i mot bærmen",rs,5,4,4,2,2
1225816186623008768,"Navn Navn Du er dessverre ikke alene, som byrde for samfunnet, med selvvalgte lidelser og plager og ønske om å lyge om alt, bare ville være hjemme og helst ikke bidra med noe som helst til felleskassen....",tw,2,4,2,3,3
1224606795584266241,Å plyndre land for rikdommer og kultur skatter. Er også så ytre høyre at det er nøyaktig det samme som Hitler gjorde. Å hate dadaismen er også hitleriansk ytre høyre,tw,3,3,4,2,2
1213772103364874240',"Navn Navn Navn Navn OK\n\nSÅ du mener altså muslimer bør ha innskrenkede friheter sammenlignet med resten av befolkningen?\n\nSelv om jeg er dønn uenig, så er det i alle fall et forståelig og befriende ærlig svar, om jeg forstår deg rett:\n\nYtrings- og religionsfrihet for alle, så lenge du ikke er muslim'",tw,3,2,4,2,2
4662831768,Ut...Med hele fam.Det er det eneste de forstår faktisk...Nå har vi vendt det andre kinnet til i 40 år...Om førti år til er vi slått i hjel..,rs,5,5,5,2,3
1227702763473252352,"Hele kirka påstår nå at de har snudd,akkurat som det bryr meg,DE FÅR FAEN ASSA TA STRAFFA SI OG BRENNE I HÆLVETE HELE FORPULTE MAMMAKNULLER MYTTERIST FITTE SAMFUNNET JA,BRENNE I HÆLVETE EVIG JÆVELA TID JA",tw,5,5,4,5,5
11184,Er ikke det terrorsvinet blitt utlevert enda? 👀😡,fb,5,4,5,3,3
3141,Navn sto jo for noen dager siden og hevdet at familien var hentet fordi 5 åringen var alvorlig syk! Nå vet hun ikke! Håper Norske syke barn får samme oppfølging heretter!,fb,3,3,2,2,2
7588,Navn Navn Du er så naiv at det grenser til sjarmerende😅😂,fb,2,2,3,2,2
4683104098,"Dette er nok samme type ""ideologi"" som termitter lever etter.. Dvs at termitter bare flytter videre til neste bolig, når de har ramponert og spist opp boligen de bor i..",rs,3,2,2,2,3
4659434469,"Send ungdommene med enveisbilett til en koranskole i Afrika, så sparer vi enda mer penger.",rs,5,3,5,5,5
1222468138597593088,Navn Både aviser og politi er varslet. En syrisk guttunge er værst.. mora jobber i barnevernet...så de har bedt om hysj hysj og forbud om å ta det opp. Han er så jævlig at at etnisk norsk jente på 10 år har prøvd å ta selvmord 2 ganger...Skiten må snart stoppes her i landet nå....,tw,4,4,4,3,3
1201086534142906368,"Navn Navn Navn Navn Navn Nå er ikke jeg rette typen å snskke positivt om CopyNation med ;)   Ang leirene så er de reelle. Ang Islam, så gjør Kina eneste rette.   Det som ikke er greit. Er all organhandel, menneskehandel, Eugenics psyko forskning som foregår ut derfra.",tw,4,3,4,4,4
1218166210577211396,"Navn Navn Absolutt en dame ""med bein i nesa"", som de sier. Synd hun er politisk utviklingshemmet.",tw,4,3,3,3,3
4682556729,"Arbeiderpartiet går for TVANG og DIRIGERING! Stop it! LHBTI folka kjemper for egen frihet til å velge, men andre skal IKKE ha lov å velge.....Stop it!",rs,2,2,2,4,3
1227303749259026433,Navn Jo men seriøst. Menn bør bli menn igjen. Si imot feminist kjerringer som er single og bitre hele livet. Og stygge.,tw,4,4,4,4,3
15456,"Navn Navn for en idiot😡 Fy **** det er jo der vi pleier å ta med barna innimellom. Er det mulig, ufff🤦🏻‍♀️🤦🏻‍♀️",fb,2,2,3,3,3
7743,"Dere må gjærne ta heim alle ""uskyldige kvinner som bare vasket klær, kokte mat , feiet gulvet !!!"" Men når de lager gjenforeningsklubber og starter åremålsdager for:: Den store voldtektdagen.. Dagen da vi brente x antall mennesker levende.. For ikke å forglemme alle de homofile vi kastet ut fra hustak.. Og dagen(e) vi lurte den naive Norske regjeringen !!!",fb,4,4,4,3,3
4684189544,Når kommer endelig MASKULINISME som svar på den derre feminisme kjønnskrigen!,rs,3,2,5,4,3
1380,Navn sjå der ja! Skal tro hvor barna får læringen sin fra 😐,fb,2,1,2,2,2
4681043156,"Det er rasistisk og si at folk skal integrere seg, folk er hva de er, og enkelte grupper skulle ikke vært her i det hele tatt.",rs,4,3,4,3,2
7802,"Navn Navn Navn Du mener så at Syria skal ta seg av norske terrorister. Det gidder de selvfølgelig ikke, på samme måte som vi sender utenlandske kriminelle hjem til der de kommer fra",fb,4,3,4,2,2
3538,"Ser her at det antagelig er mange voksne folk med fritidsproblemer. Ta dere en bolle, stol litt på systemet og engasjer dere i noe annet!",fb,2,2,2,2,2
