id,text,source,category,kristoffer,vilde,sondre,mathias
1226100821122834432,"Det fører til en mer sivilisert debatt, når man vet man er sånn passe enige om mål (men ikke helt), og mest uenige om virkemiddel. Men i dag virker partiene mer enige om at staten er selve virkemiddelet, men man virker ganske uenige om målet for *bruken* av denne sterke staten.",tw,1,1,1,1,1
11442,Navn Navn Navn en smule TDS på gang eller?,fb,1,1,1,1,2
1226049907091439617,@USER @USER @USER Sannsynligvis utsolgt lenge ja. Samtidig tok vinneren kontakt med TV 2 i juni for å fortelle hvilken kamp han ønsket. Det var en god stund før sesongstart...,tw,1,1,1,1,1
8639,Hvorfor ikke like gjerne boikotte hele Oslohølet ??,fb,3,2,3,2,1
1222822425353768961,"Se første NM-øvelse, 10 km fri teknikk, kvinner",tw,1,1,1,1,1
4678335570,Trum får unnagjort de aller viktigste sakene som betyr noe i en stor effektivitet .,rs,1,1,1,1,1
1219896287866368000,Siste interaktiv:  - Interaktiv grafikk som viser de 20 mest populære jente- og g -,tw,1,1,1,1,1
1226050797122703360,"Tenn gnisten igjen: Hvordan bli forelsket i kjæresten din på nytt?: Hva skjer hvis du elsker din bedre halvdel, men ikke lenger er forelsket? Her er åtte råd for å tenne gnisten igjen.",tw,1,1,1,1,1
12433,En bot er ingen problem for Norge. VI har penger til alt bare ikke pensjonistene,fb,1,1,1,1,2
1223970297893785601,"Kinesiske myndigheter har visstnok innført midlertidig forbud mot handel med ville dyr på de såkalte ""kjøttmarkedene"" pga virusutbruddet.Hvorfor bare midlertidig? Og hvorfor ikke utvide forbudet til å gjelde den motbydelige handelen med hunder og katter også?  #virus #virusCorona",tw,1,1,1,1,1
1219237377983598594,Kanskje på tide å bli realist og forstå at man ikke kan forvente at andre skal betale for egne fantasier. Å tro at man kan hente inn 90.000.000.000 kroner fra bompenger i en by...,tw,1,1,1,1,1
3586,"Navn Navn Misfjord, er nok beleilig det nå! Men ganske essensielt i denne spesielle saken! Fram med sannheten!",fb,1,1,1,1,1
4675764990,"Forsker fra Cicero! De har jo konklusjonen ferdig før de har sett på et eneste tall. Når de jobber i Cicero er de ikke forskere, i ordets rette forstand, men klima fanatkere. Det Torvanger bør glede seg over er at utslippene ikke skjer i Oslo.",rs,1,1,1,2,2
1227720303146622978,"@USER @USER @USER @USER @USER @USER @USER @USER @USER Du skjønner ikke at kollapsen av velferdssamfunnet vårt også vil ramme de rikeste? Og du aner ikke hva de rike blir rike av? Men du kan lese, og forstår engelsk? Prøv igjen, i så fall.",tw,1,2,1,2,2
1228564248722395142,"@USER Grus kan være grønn(USA), mørkerød(Sverige) og til og med har de hatt blå grus i Madrid! Fransk grus(Rød) er den beste og vanligste på ATP touren - knust teglstein!",tw,1,1,1,1,1
4687559315,"Det foregår massive tiltak for å bytte ut nordmenn med muslimer. Tiltak på tiltak blir finansiert av staten, for å skolere og lønne innvandrere. Som deretter skyver nordmenn ut i kulden.",rs,3,2,1,2,2
8833,Drit i de jævla mdg og kjør inn og nyt dagen med de flotte Amcar bilene 😁👍,fb,1,2,3,2,2
575,Og Erna skjønner ingenting.,fb,1,2,1,1,1
2851,Navn Navn tviler på de får lov å være en del av forsvaret i det hele tatt...,fb,1,1,1,1,1
1214665794627522560',@USER @USER Ja Det har du rett i men det er så rart at når det snakkes om klima så er uansett penger inn i bildet og avgifter.',tw,1,1,1,1,1
1224464157954772992,"@USER @USER @USER @USER @USER @USER @USER Enig, nope. Hold ut.  Shit, her er vi åpne ass. Jeg har holdt alt dette for meg selv i 19 år, nå inn i det 20 året har jeg vedtatt at dette ikke er mitt å bære alene,for det får konsekvenser for behandling og for måten vi både blir forstått,økonomisk og politisk at vi ikke høres.",tw,1,1,1,1,1
1217775482726428672,"Eller noe sånt, tenkte ikke ut sammenligninga helt. Basically må Erna irettesette den lille drittungen i klassen som kontinuerlig ødelegger for alle andre bare fordi hen ikke får vilja si 100% hele tiden som den gjør hjemme hos de rike foreldrene sine.",tw,1,2,1,2,2
1219742887392555008,Kepa begynner å ligne en veldig dyr Mignolet...,tw,1,1,1,1,1
1225806902430437377,@USER Den begynner å bli litt sliten stakkars. Hatt den i 4-5 år.,tw,1,1,1,1,1
4679378980,Men Ropstad da...Dette er jo reinspikka rasisme,rs,1,2,1,1,1
1218233766923132928,"@USER @USER Som om fakta har noen effekt på tanketomme klimahysterikere? Nei dessverre. #Klima er en religion, og man kan ikke bekjempe religion med fakta.",tw,2,1,2,2,1
